eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
r,vel dapibus,habitasse platea dictumst,nam congue risus semper porta volutpat quam,s,in blandit ultrices,kg,338.79,825.5,425.6,sed lacus morbi,6.89,538.05,788.67,339.44,sapien,sollicitudin ut suscipit,9.53,p,non,tincidunt eu,metus aenean fermentum donec ut mauris eget,o,commodo placerat praesent,%,340.68,472.89,898.82,rp,so
p,in hac,a libero nam,phasellus id sapien in sapien iaculis congue,i,faucibus orci,m,909.84,593.75,898.61,lectus in quam fringilla,3.13,726.39,958.77,163.91,sit amet,odio donec,1.5,r,vulputate,id nulla ultrices,sit amet nunc viverra dapibus nulla suscipit,r,erat tortor,%,411.05,564.55,910.31,pr,ir
r,volutpat quam,pulvinar sed nisl,et ultrices posuere cubilia curae duis,r,nulla sed accumsan,USD,251.94,402.26,865.78,mollis molestie lorem quisque,0.67,481.27,692.65,15.96,amet,mauris viverra,7.0,i,cubilia,enim sit,semper porta volutpat quam pede lobortis ligula,r,dapibus at diam,USD,752.83,115.71,205.75,ri,rr
p,neque,rhoncus aliquet,nisi at nibh in hac,s,phasellus sit amet,%,89.41,889.7,326.72,amet diam in magna,3.07,716.11,958.77,737.1,a,eget semper,7.36,r,lobortis vel,rhoncus mauris enim,sociis natoque penatibus et magnis dis parturient,p,rutrum nulla nunc,%,655.18,982.97,637.55,pr,sp
r,sed vel,lectus pellentesque eget,viverra dapibus nulla suscipit ligula,r,cubilia curae,%,756.28,276.71,74.13,donec odio justo sollicitudin,4.52,471.27,363.86,282.5,felis sed,dolor quis,7.68,s,integer pede,natoque penatibus,massa tempor convallis nulla neque libero convallis,i,in imperdiet et,%,937.43,724.26,274.92,rs,ri
r,praesent,cum sociis natoque,fermentum donec ut mauris eget massa tempor,s,vel accumsan,kg,781.28,938.03,611.59,leo odio porttitor id,5.01,923.42,596.31,737.89,turpis adipiscing,enim lorem ipsum dolor,6.64,s,turpis,quam a odio,dui vel sem sed sagittis nam congue,o,ullamcorper purus sit,USD,848.21,776.78,334.88,rs,so
i,ipsum,sit amet,sit amet diam in magna bibendum imperdiet,r,dolor quis,USD,874.08,269.76,652.46,luctus et ultrices,3.16,893.15,521.05,413.44,elementum,molestie hendrerit at vulputate,7.03,p,pretium,tincidunt in,risus dapibus augue vel accumsan tellus nisi,r,felis sed,kg,469.8,998.16,601.5,ip,rr
i,a,sem fusce,praesent blandit lacinia erat vestibulum,r,integer a,USD,377.65,606.88,733.23,ante ipsum primis,5.7,579.83,454.95,916.38,aliquam,mauris vulputate,5.56,s,posuere,nisi volutpat eleifend,est lacinia nisi venenatis tristique fusce congue,o,luctus tincidunt,%,576.78,419.19,613.95,is,ro
p,nulla,odio justo sollicitudin,porta volutpat erat quisque erat eros,o,metus arcu adipiscing,m,83.54,318.96,952.25,ac leo pellentesque ultrices,9.09,457.82,291.21,155.25,eu massa,eleifend donec,8.12,i,at,sem mauris laoreet,arcu libero rutrum ac lobortis vel dapibus,i,mauris laoreet ut,kg,978.34,643.12,499.19,pi,oi
s,ac est,augue vestibulum,facilisi cras non velit nec,r,vitae nisl aenean,kg,273.86,782.17,33.55,sed tristique in,6.41,898.71,675.91,443.25,eget rutrum,blandit nam,6.44,r,sapien,aenean lectus pellentesque,pellentesque eget nunc donec quis orci eget,s,sed accumsan,%,667.58,128.96,574.64,sr,rs
p,ut,consequat ut nulla,tempus vivamus in felis eu,r,natoque penatibus et,%,796.33,284.62,874.26,ut at dolor quis,6.09,971.45,0.25,635.18,odio odio,suscipit nulla elit ac,3.56,p,semper,interdum venenatis turpis,in purus eu magna vulputate luctus cum,i,purus sit amet,m,285.5,910.63,780.09,pp,ri
r,id,libero non,integer tincidunt ante vel ipsum praesent blandit,p,ultrices posuere cubilia,m,509.3,764.72,894.54,justo nec condimentum neque,6.72,628.51,587.83,551.58,scelerisque quam,morbi non quam,8.91,s,varius ut,laoreet ut,ultrices erat tortor sollicitudin mi sit amet,i,in magna bibendum,%,154.98,905.01,770.03,rs,pi
i,non,sodales sed,luctus cum sociis natoque penatibus,i,magna at,%,176.49,589.55,138.59,lectus pellentesque eget nunc,2.8,486.52,530.0,168.67,volutpat sapien,ultrices aliquet maecenas leo,9.31,i,ligula sit,orci luctus et,maecenas ut massa quis augue luctus tincidunt,s,nam dui proin,%,935.79,219.42,968.6,ii,is
o,convallis morbi,volutpat quam,ullamcorper augue a suscipit nulla,o,dictumst maecenas,kg,125.29,686.33,15.77,interdum mauris ullamcorper purus,5.6,551.23,970.95,565.05,at,molestie hendrerit at vulputate,4.64,r,tincidunt in,est congue,dolor vel est donec odio justo sollicitudin,r,vitae nisl,USD,360.95,195.26,562.1,or,or
p,vel,quisque id,massa tempor convallis nulla neque libero,r,feugiat non pretium,USD,886.38,727.39,422.61,et eros vestibulum,1.55,89.92,275.64,256.42,nullam sit,natoque penatibus,5.51,p,neque,pellentesque ultrices mattis,sapien cum sociis natoque penatibus et magnis,p,quisque erat,USD,279.51,892.72,84.68,pp,rp
i,odio porttitor,diam in magna,hac habitasse platea dictumst maecenas ut,r,amet sem,kg,969.92,812.36,573.11,maecenas pulvinar lobortis,1.77,34.75,677.65,173.13,lectus in,erat tortor sollicitudin mi,2.01,s,aliquet maecenas,nibh in lectus,fusce congue diam id ornare imperdiet sapien,i,posuere cubilia curae,kg,204.02,150.7,824.91,is,ri
p,suspendisse,luctus cum,sollicitudin mi sit amet lobortis sapien,r,dolor vel est,m,436.71,438.7,465.66,nascetur ridiculus mus,6.61,555.32,315.66,21.44,maecenas tristique,mauris ullamcorper purus sit,5.62,o,imperdiet,felis sed lacus,diam in magna bibendum imperdiet nullam orci,s,sit amet erat,m,9.89,991.05,660.64,po,rs
i,lorem quisque,eget vulputate ut,scelerisque mauris sit amet eros suspendisse,o,vulputate luctus cum,USD,613.24,876.59,507.08,parturient montes nascetur,8.21,31.27,186.87,713.41,nulla justo,orci eget,9.62,i,justo sollicitudin,feugiat et eros,nulla dapibus dolor vel est donec odio,o,eget eleifend luctus,m,593.32,762.08,874.81,ii,oo
p,nam,iaculis justo in,quam fringilla rhoncus mauris enim,s,nam ultrices libero,%,446.9,199.45,19.75,mauris sit amet,1.71,70.72,486.8,314.53,donec semper,nonummy integer non,7.9,o,sapien sapien,maecenas rhoncus,sapien dignissim vestibulum vestibulum ante ipsum primis,s,venenatis lacinia,m,223.29,88.44,188.59,po,ss
i,primis in,lacus morbi,pharetra magna ac consequat metus sapien ut,o,vestibulum quam,USD,208.18,701.75,633.97,est donec odio justo,3.1,173.09,44.44,506.61,ante,dui nec nisi volutpat,9.01,p,vel lectus,tortor duis,neque sapien placerat ante nulla justo aliquam,p,lectus vestibulum quam,m,435.83,257.1,182.15,ip,op
i,pede,sem praesent id,justo maecenas rhoncus aliquam lacus morbi,i,bibendum imperdiet nullam,kg,367.08,904.28,456.46,ridiculus mus vivamus,2.49,164.24,656.35,643.03,interdum,vulputate elementum nullam,3.67,p,non ligula,integer ac leo,in felis eu sapien cursus vestibulum proin,p,ipsum primis,kg,318.53,978.24,365.7,ip,ip
p,rhoncus,vivamus vestibulum sagittis,porttitor lacus at turpis donec posuere metus,p,pellentesque viverra pede,kg,387.52,906.67,221.8,viverra eget congue eget,0.83,64.12,631.99,380.32,at,sit amet nunc,3.5,s,nibh,lectus pellentesque at,ante vivamus tortor duis mattis egestas metus,r,nec euismod scelerisque,kg,765.74,489.95,570.37,ps,pr
p,tristique,nunc viverra,nulla facilisi cras non velit nec nisi,o,justo sit amet,kg,972.29,37.83,610.31,at velit eu est,7.63,223.16,352.14,251.03,quam,malesuada in imperdiet,5.34,r,nulla,vulputate vitae nisl,lacinia erat vestibulum sed magna at nunc,p,maecenas pulvinar lobortis,m,648.49,975.36,961.71,pr,op
p,ipsum praesent,mattis nibh,varius integer ac leo pellentesque,r,odio donec,kg,328.57,882.15,683.99,venenatis lacinia aenean,1.61,418.06,146.38,89.37,integer,maecenas ut massa quis,6.58,r,penatibus et,orci luctus,magna ac consequat metus sapien ut nunc,o,suspendisse potenti,kg,248.08,604.7,235.67,pr,ro
r,a,sociis natoque penatibus,varius ut blandit non interdum in ante,p,integer non velit,m,140.56,758.11,327.08,orci pede venenatis,9.57,937.99,417.83,592.42,et,etiam vel augue,7.65,i,sapien sapien,primis in faucibus,est donec odio justo sollicitudin ut suscipit,o,posuere cubilia curae,kg,924.57,934.04,200.06,ri,po
i,pretium,dolor sit,vestibulum ante ipsum primis in,o,habitasse platea dictumst,USD,84.37,798.06,96.89,scelerisque mauris sit,3.46,185.69,389.8,577.37,fusce posuere,mollis molestie lorem,7.08,i,dui,aliquet pulvinar,porttitor lorem id ligula suspendisse ornare consequat,r,nisl ut,USD,213.26,540.6,369.72,ii,or
p,libero,primis in,odio odio elementum eu interdum,p,ac consequat metus,USD,563.32,580.39,875.33,leo rhoncus sed,5.77,793.6,902.18,520.93,odio,nulla pede,6.91,s,venenatis tristique,donec odio,at ipsum ac tellus semper interdum mauris,i,tristique fusce,m,713.71,162.47,279.71,ps,pi
o,rhoncus aliquam,duis faucibus,viverra eget congue eget semper,i,amet consectetuer,%,790.69,782.54,83.33,ac leo pellentesque,5.19,718.1,733.21,406.81,urna pretium,orci luctus et,1.59,i,pede,lobortis convallis,rutrum at lorem integer tincidunt ante vel,s,proin interdum,%,56.92,926.05,970.36,oi,is
s,est risus,ut volutpat sapien,nulla quisque arcu libero rutrum ac lobortis,i,eros suspendisse,USD,354.6,141.65,838.56,praesent id massa id,4.84,567.52,768.46,802.27,vivamus,elementum in hac,0.8,i,nunc rhoncus,lorem id ligula,eu orci mauris lacinia sapien quis libero,i,congue elementum in,%,833.29,226.13,850.74,si,ii
o,vulputate,congue diam,risus auctor sed tristique in tempus sit,s,rutrum nulla,kg,358.44,122.72,206.35,quisque porta volutpat erat,9.85,121.54,779.81,477.01,praesent blandit,nonummy maecenas tincidunt lacus,6.87,i,ante,platea dictumst maecenas,justo maecenas rhoncus aliquam lacus morbi quis,i,nulla elit ac,%,994.66,215.14,990.88,oi,si
s,id,in imperdiet et,orci luctus et ultrices posuere cubilia,r,libero nullam sit,USD,778.89,607.74,751.39,hac habitasse platea dictumst,3.48,672.57,875.54,881.07,metus,primis in faucibus orci,9.55,p,justo,tristique fusce,tincidunt lacus at velit vivamus vel nulla,o,nisi venenatis,%,715.64,303.27,877.59,sp,ro
s,mi,aenean auctor,non velit nec nisi vulputate,r,volutpat dui,kg,186.54,909.04,197.52,curae mauris viverra diam,1.26,229.3,127.0,977.75,duis mattis,elit sodales,8.29,r,duis mattis,consectetuer adipiscing,semper sapien a libero nam dui proin,i,vestibulum ante ipsum,USD,635.51,131.61,235.18,sr,ri
p,pharetra magna,erat tortor,eleifend donec ut dolor morbi,r,nulla sed vel,m,605.16,893.75,87.87,justo in blandit,2.5,113.01,2.43,958.11,nam congue,felis sed interdum venenatis,1.69,s,vulputate,libero non,ipsum dolor sit amet consectetuer adipiscing elit,r,luctus tincidunt,kg,420.49,71.74,212.52,ps,rr
r,eu interdum,aliquet ultrices,morbi non quam nec dui luctus,r,nec dui,%,594.77,267.16,668.9,orci luctus et ultrices,6.96,244.68,37.1,803.36,morbi sem,ut erat id,4.58,s,interdum,eget massa,volutpat in congue etiam justo etiam pretium,s,dui vel,kg,81.82,758.35,2.91,rs,rs
i,vitae,diam id ornare,ut suscipit a feugiat et eros vestibulum,i,nulla dapibus dolor,kg,769.04,117.8,767.18,elit proin risus,2.01,187.53,383.2,579.89,commodo,lacinia eget tincidunt,7.92,r,at diam,eu orci mauris,lacinia erat vestibulum sed magna at nunc,r,est quam,%,600.48,864.15,815.13,ir,ir
o,eu,id justo,nec dui luctus rutrum nulla tellus,i,at velit,kg,232.44,376.66,550.69,sapien dignissim vestibulum vestibulum,0.64,995.35,42.9,265.08,duis,volutpat eleifend donec,0.14,p,orci luctus,amet sapien,nisi vulputate nonummy maecenas tincidunt lacus at,o,at nulla suspendisse,%,295.19,409.27,848.34,op,io
p,id justo,velit donec diam,tempus semper est quam pharetra,s,mauris morbi non,kg,101.33,399.88,493.44,mauris morbi non,0.84,91.7,232.07,355.48,vel,risus auctor sed tristique,0.36,o,felis,in faucibus orci,nunc vestibulum ante ipsum primis in faucibus,p,et ultrices posuere,m,350.07,558.32,701.06,po,sp
r,proin,lobortis convallis,tincidunt lacus at velit vivamus,p,ultrices posuere,kg,218.14,772.09,894.87,ullamcorper augue a suscipit,4.74,612.5,493.58,583.93,turpis,velit vivamus,5.41,i,sagittis,id ligula suspendisse,odio porttitor id consequat in consequat ut,i,consequat nulla nisl,kg,257.91,256.15,649.55,ri,pi
r,quam turpis,montes nascetur,pellentesque volutpat dui maecenas tristique,p,lectus in est,USD,323.58,410.33,298.93,sapien dignissim vestibulum,1.72,34.13,464.07,539.85,sollicitudin ut,nunc viverra dapibus nulla,2.92,i,vestibulum,dictumst maecenas,tellus nulla ut erat id mauris vulputate,p,at nibh,USD,340.13,645.21,595.53,ri,pp
r,ac est,eget vulputate ut,montes nascetur ridiculus mus vivamus vestibulum sagittis,r,duis at,m,822.62,941.3,88.42,pede libero quis,4.06,611.02,618.82,55.15,nec sem,lectus suspendisse,2.84,p,tristique est,porta volutpat,integer ac neque duis bibendum morbi non,p,sapien placerat,USD,482.5,921.47,895.19,rp,rp
r,tortor quis,dapibus dolor,in tempus sit amet sem fusce,i,commodo placerat praesent,USD,562.42,954.49,866.92,lorem ipsum dolor sit,1.79,954.29,361.27,394.41,quis,suscipit a,8.06,o,suscipit a,elit proin interdum,a feugiat et eros vestibulum ac est,o,tristique in tempus,USD,57.83,43.35,735.09,ro,io
o,vestibulum,volutpat convallis,est quam pharetra magna ac consequat,p,odio justo,%,375.5,258.94,449.88,sed sagittis nam,8.63,804.31,868.04,867.75,morbi,a pede,5.65,s,viverra pede,aliquet maecenas,ante ipsum primis in faucibus orci luctus,o,lectus in quam,kg,480.18,614.75,876.94,os,po
r,amet,id pretium iaculis,pretium iaculis diam erat fermentum justo,i,pharetra magna vestibulum,%,574.6,628.51,366.88,in quam fringilla rhoncus,5.44,669.99,121.21,728.59,in,tempus semper est,8.85,r,at dolor,sem mauris laoreet,turpis elementum ligula vehicula consequat morbi a,i,curabitur convallis duis,kg,742.5,698.25,743.77,rr,ii
p,cursus urna,rutrum nulla tellus,consectetuer adipiscing elit proin interdum,r,tristique in tempus,USD,772.89,594.36,165.73,vehicula consequat morbi,0.44,772.37,459.07,325.54,lorem ipsum,at nulla suspendisse,6.2,r,libero,mattis pulvinar nulla,nam nulla integer pede justo lacinia eget,i,justo in blandit,USD,188.46,108.79,170.59,pr,ri
i,morbi vel,nascetur ridiculus,quam turpis adipiscing lorem vitae mattis nibh,p,venenatis turpis,%,746.4,550.36,335.72,amet cursus id turpis,2.56,355.1,881.53,783.09,euismod,a pede posuere,5.51,o,ultrices enim,arcu adipiscing,dapibus duis at velit eu est congue,r,cursus id,USD,284.65,270.29,117.95,io,pr
o,nisl,platea dictumst maecenas,odio elementum eu interdum eu tincidunt,i,ut erat,m,108.15,289.85,510.43,ipsum primis in faucibus,1.77,533.69,644.41,203.97,a nibh,nullam orci,6.28,i,habitasse platea,tempor convallis nulla,amet sapien dignissim vestibulum vestibulum ante ipsum,o,egestas metus,m,259.64,30.39,708.74,oi,io
r,donec ut,morbi odio odio,nulla dapibus dolor vel est,i,consequat morbi a,kg,684.23,705.29,287.41,vitae ipsum aliquam,4.91,130.52,537.31,681.87,rutrum rutrum,tortor risus,1.35,i,nullam,penatibus et,sit amet consectetuer adipiscing elit proin risus,i,nibh in,USD,728.09,966.12,345.93,ri,ii
o,porttitor id,risus auctor,vulputate ut ultrices vel augue vestibulum ante,p,ut massa quis,m,478.23,241.29,963.65,nisl duis bibendum,8.39,549.7,676.38,617.81,eget,quam a odio,3.63,o,ligula,ridiculus mus,amet nulla quisque arcu libero rutrum ac,s,consectetuer adipiscing elit,USD,347.8,162.78,664.74,oo,ps
o,tortor,mus etiam,vel pede morbi porttitor lorem id,s,cursus vestibulum,m,775.22,497.09,550.87,a ipsum integer,4.21,457.08,686.84,379.04,nisi nam,dapibus duis,2.3,i,id,in libero ut,posuere felis sed lacus morbi sem mauris,s,in hac habitasse,kg,131.32,297.38,606.95,oi,ss
s,curae,consequat ut nulla,ultrices libero non mattis pulvinar nulla,o,a pede,m,164.44,774.42,318.34,pulvinar sed nisl,3.28,578.22,827.86,881.85,dis parturient,dui luctus rutrum,3.99,s,aenean auctor,iaculis justo in,odio consequat varius integer ac leo pellentesque,r,nulla suspendisse,kg,933.57,149.68,190.33,ss,or
p,odio in,pede venenatis,in est risus auctor sed tristique,r,cum sociis natoque,kg,409.48,49.09,48.32,luctus ultricies eu nibh,7.62,127.14,350.99,298.51,mauris,lacus curabitur at,6.61,o,mattis nibh,vitae ipsum aliquam,molestie lorem quisque ut erat curabitur gravida,p,ut erat,m,903.13,368.49,963.0,po,rp
s,massa,sed nisl nunc,suspendisse potenti nullam porttitor lacus at turpis,s,purus aliquet,m,217.18,779.18,896.74,sapien arcu sed,5.66,323.57,832.39,274.85,congue,non mauris morbi non,9.65,i,nullam orci,in faucibus,etiam pretium iaculis justo in hac habitasse,p,luctus cum,m,571.97,598.15,109.81,si,sp
i,vel sem,turpis sed ante,aliquet pulvinar sed nisl nunc rhoncus,i,id lobortis convallis,USD,359.53,121.42,554.46,sed augue aliquam,5.34,676.77,657.38,147.77,pulvinar sed,sed accumsan,5.18,o,aliquam convallis,at ipsum ac,placerat praesent blandit nam nulla integer pede,i,sem praesent id,USD,36.11,159.46,397.32,io,ii
s,vitae consectetuer,semper est,cubilia curae nulla dapibus dolor,i,vulputate elementum,kg,602.8,593.27,519.56,donec pharetra magna vestibulum,2.28,355.64,50.83,906.04,in,fringilla rhoncus mauris,0.79,i,dui vel,facilisi cras,at turpis donec posuere metus vitae ipsum,r,cursus vestibulum proin,USD,586.98,874.41,703.56,si,ir
r,lectus,vivamus metus,tellus in sagittis dui vel nisl duis,r,eget congue,kg,424.27,714.27,955.54,purus phasellus in,2.18,327.37,218.39,314.36,dui maecenas,donec vitae nisi,3.7,s,etiam,cursus vestibulum,pellentesque ultrices phasellus id sapien in sapien,s,lacus morbi sem,kg,268.36,824.23,574.7,rs,rs
p,urna pretium,ante ipsum,nascetur ridiculus mus vivamus vestibulum,r,felis ut,USD,482.71,584.05,482.12,quisque arcu libero,2.76,81.77,370.85,491.61,quis,phasellus sit,6.2,r,a suscipit,justo etiam pretium,risus auctor sed tristique in tempus sit,p,cum sociis,m,558.8,65.52,163.55,pr,rp
i,non mi,id nulla,morbi ut odio cras mi,i,quis libero nullam,kg,970.73,654.41,316.55,curabitur gravida nisi at,8.56,295.59,453.07,40.75,accumsan,quam suspendisse potenti,3.68,s,nunc rhoncus,ac leo pellentesque,mauris morbi non lectus aliquam sit amet,p,sapien placerat ante,m,249.6,495.19,658.09,is,ip
o,sed justo,pharetra magna,convallis morbi odio odio elementum eu interdum,i,lacinia aenean,USD,232.68,318.32,560.95,orci luctus et,9.45,892.38,998.02,146.89,habitasse,non ligula,0.51,r,est lacinia,pede ac,at nulla suspendisse potenti cras in purus,p,nisl nunc rhoncus,m,409.75,344.92,544.27,or,ip
i,blandit,integer tincidunt ante,consequat lectus in est risus auctor,s,tempus vivamus,%,956.42,564.92,250.35,tempor convallis nulla,7.76,998.65,394.25,917.18,accumsan tellus,interdum eu,3.58,s,molestie,enim in tempor,ut volutpat sapien arcu sed augue aliquam,o,in consequat ut,USD,192.16,664.07,463.36,is,so
s,vel,aliquam non,auctor gravida sem praesent id massa,p,cum sociis natoque,%,735.5,512.72,891.04,quis orci nullam,5.67,80.63,797.74,969.52,amet diam,nisl duis,1.71,o,tempus,congue vivamus metus,erat quisque erat eros viverra eget congue,i,tortor quis turpis,m,871.08,935.64,168.17,so,pi
p,diam,pretium iaculis justo,tellus semper interdum mauris ullamcorper,o,curabitur convallis,USD,669.72,557.27,207.25,lacus purus aliquet,0.43,784.43,931.64,410.71,amet diam,maecenas rhoncus aliquam,7.32,p,id,interdum mauris non,orci luctus et ultrices posuere cubilia curae,p,sollicitudin mi sit,USD,422.02,170.88,836.8,pp,op
s,duis aliquam,sit amet eros,vestibulum ac est lacinia nisi venenatis tristique,s,id consequat,USD,157.86,677.6,451.89,pharetra magna vestibulum,5.47,789.65,631.67,964.03,scelerisque quam,morbi sem mauris laoreet,2.21,p,nam nulla,eget semper rutrum,risus dapibus augue vel accumsan tellus nisi,s,nulla pede,USD,115.89,606.52,634.02,sp,ss
p,sit amet,quisque arcu,consectetuer adipiscing elit proin interdum,i,aenean fermentum,%,38.4,886.5,176.54,curabitur gravida nisi at,7.0,138.08,421.1,422.11,tincidunt,dictumst etiam faucibus,5.79,p,lacus,non mauris,aliquet maecenas leo odio condimentum id luctus,i,felis fusce posuere,kg,324.54,191.54,800.75,pp,ii
o,id,urna ut,vel pede morbi porttitor lorem,s,mattis nibh ligula,kg,747.45,87.09,890.5,blandit mi in,3.3,581.83,355.4,448.61,accumsan felis,nec sem,1.5,s,justo maecenas,libero non,lectus in est risus auctor sed tristique,r,urna pretium nisl,kg,63.61,205.04,613.02,os,sr
s,elementum eu,amet nulla quisque,nisi nam ultrices libero non mattis pulvinar,o,non mauris morbi,USD,358.92,961.41,866.54,tellus nulla ut,5.74,668.87,73.06,215.91,nam,et ultrices posuere cubilia,8.84,r,nec,ullamcorper purus sit,risus semper porta volutpat quam pede lobortis,o,nisi volutpat eleifend,%,355.44,692.72,99.58,sr,oo
r,accumsan tortor,justo aliquam quis,erat tortor sollicitudin mi sit amet,s,aliquam augue quam,m,910.25,221.52,269.56,sapien quis libero nullam,5.04,925.44,982.03,667.32,blandit,ut erat id,3.22,r,magna,leo odio,eu mi nulla ac enim in tempor,r,vestibulum ante,kg,343.02,864.67,465.03,rr,sr
o,congue diam,scelerisque mauris,lacinia aenean sit amet justo morbi ut,i,ultrices posuere,m,207.83,387.75,338.5,mus vivamus vestibulum sagittis,9.75,746.67,863.53,911.15,libero rutrum,ligula pellentesque ultrices phasellus,5.78,p,primis,nulla elit,vestibulum eget vulputate ut ultrices vel augue,i,hendrerit at,%,184.76,930.55,26.89,op,ii
r,quam pede,magna vulputate luctus,consequat lectus in est risus auctor,r,natoque penatibus,m,432.11,636.04,125.78,aliquam quis turpis eget,2.74,592.91,261.51,119.53,gravida sem,maecenas ut massa quis,5.48,o,ipsum,felis ut,nec sem duis aliquam convallis nunc proin,s,sed sagittis,kg,157.96,557.62,7.95,ro,rs
p,malesuada in,sed vel enim,in consequat ut nulla sed,s,gravida nisi,m,590.78,533.8,720.03,pede justo eu,1.57,25.3,105.43,366.6,mauris,tortor id nulla ultrices,0.11,i,adipiscing,luctus et ultrices,in hac habitasse platea dictumst aliquam augue,r,aliquet at,m,310.87,769.27,106.75,pi,sr
p,turpis eget,natoque penatibus,arcu adipiscing molestie hendrerit at,i,massa donec,m,574.58,480.01,601.24,luctus tincidunt nulla mollis,7.58,103.43,679.58,580.24,pede,libero nullam sit,9.47,r,dapibus,amet sem fusce,tellus nulla ut erat id mauris vulputate,r,primis in,%,640.17,941.44,895.17,pr,ir
p,odio elementum,ut massa quis,ultrices erat tortor sollicitudin mi sit,p,tellus nulla ut,USD,629.84,440.28,92.46,pede posuere nonummy,2.49,360.6,604.57,288.93,risus dapibus,consectetuer eget,7.8,s,congue,vitae mattis,amet sapien dignissim vestibulum vestibulum ante ipsum,o,non mi integer,USD,680.47,290.22,510.79,ps,po
s,hac,mi pede malesuada,sollicitudin ut suscipit a feugiat et eros,p,enim lorem,USD,63.78,274.95,195.29,curae nulla dapibus,7.9,988.86,662.39,878.36,eleifend,sollicitudin ut,5.98,i,congue,morbi vestibulum velit,dapibus dolor vel est donec odio justo,s,eu mi,%,0.65,570.12,977.29,si,ps
o,lectus pellentesque,turpis eget elit,in consequat ut nulla sed accumsan felis,p,scelerisque quam turpis,%,773.77,692.97,15.77,rutrum ac lobortis vel,0.16,588.9,442.72,416.39,non lectus,cursus id turpis,8.9,i,vel,ut ultrices,faucibus orci luctus et ultrices posuere cubilia,p,risus semper porta,m,940.97,381.39,249.98,oi,pp
o,id,eu mi,mattis odio donec vitae nisi nam,p,et ultrices,m,125.29,973.67,463.54,tempus semper est quam,0.93,561.32,950.26,688.64,ac,in quam fringilla,5.51,p,id consequat,tellus nisi eu,tristique in tempus sit amet sem fusce,i,in magna bibendum,kg,605.97,540.75,418.87,op,pi
p,vestibulum,mollis molestie,nam nulla integer pede justo,i,nulla facilisi,kg,222.11,397.04,956.15,ante vivamus tortor,2.11,344.15,497.92,673.27,tempus sit,vulputate ut ultrices,8.0,i,proin leo,sed vel enim,sed sagittis nam congue risus semper porta,p,nunc nisl duis,%,230.69,234.44,624.46,pi,ip
s,fusce lacus,quis orci eget,turpis sed ante vivamus tortor duis,r,pede ac,%,993.35,438.28,719.98,duis consequat dui nec,5.87,819.91,759.19,660.97,vel lectus,ligula nec,9.46,p,congue risus,proin risus,quam sollicitudin vitae consectetuer eget rutrum at,p,turpis enim,USD,459.5,568.07,552.14,sp,rp
r,at ipsum,vel dapibus,in porttitor pede justo eu massa,s,auctor sed tristique,%,505.3,905.58,894.29,quam nec dui luctus,1.12,854.79,142.57,624.78,pulvinar lobortis,sed vestibulum sit amet,6.78,o,in,tortor id,sem praesent id massa id nisl venenatis,i,praesent blandit nam,kg,145.06,676.79,738.86,ro,si
p,sed,natoque penatibus,sit amet diam in magna bibendum imperdiet,i,in eleifend quam,kg,408.05,883.39,39.68,libero nullam sit,8.68,126.44,645.91,690.95,vestibulum ac,ullamcorper augue a suscipit,9.79,i,leo,cursus urna,quisque ut erat curabitur gravida nisi at,p,velit nec,%,262.42,335.2,454.43,pi,ip
r,in quam,vestibulum sit amet,aliquet massa id lobortis convallis tortor,p,primis in faucibus,%,445.98,273.27,639.45,mauris laoreet ut rhoncus,4.66,966.59,812.78,682.82,sem fusce,vestibulum velit id pretium,7.39,i,duis,vestibulum rutrum,venenatis non sodales sed tincidunt eu felis,o,pede ac diam,%,282.53,632.3,109.13,ri,po
p,convallis nunc,amet sem fusce,porttitor id consequat in consequat ut nulla,r,fermentum donec ut,%,691.96,47.56,898.01,ante vestibulum ante ipsum,5.25,696.18,450.54,448.03,erat id,pede justo lacinia eget,7.17,i,pretium,pretium iaculis justo,dictumst etiam faucibus cursus urna ut tellus,i,dapibus at diam,kg,719.97,469.67,28.13,pi,ri
r,tincidunt ante,nullam sit,nisl duis bibendum felis sed,s,sapien arcu,m,382.37,802.81,630.51,suscipit nulla elit ac,7.61,941.19,581.19,841.39,risus praesent,pulvinar nulla,1.41,p,dictumst etiam,duis ac,vel accumsan tellus nisi eu orci mauris,p,ac est lacinia,kg,736.1,680.51,913.3,rp,sp
i,lobortis,parturient montes,odio elementum eu interdum eu tincidunt in,o,consequat varius,kg,176.07,520.59,84.85,in imperdiet et,7.31,534.81,538.15,863.1,viverra,proin leo odio,2.47,s,velit id,in tempor turpis,etiam vel augue vestibulum rutrum rutrum neque,r,ut ultrices,USD,390.82,948.43,999.71,is,or
o,augue vestibulum,viverra diam,at diam nam tristique tortor eu,p,cum sociis,USD,636.41,208.09,616.92,rutrum ac lobortis,6.35,143.73,778.73,898.33,vulputate,non mi integer,3.93,i,tortor,posuere cubilia curae,odio consequat varius integer ac leo pellentesque,o,ligula in lacus,%,972.11,928.71,474.92,oi,po
