eA,eA_Pattern,eA_Name,eA_Content,mA,mA_Pattern,mA_Unit,mA_from,mA_value,mA_to,t_Pattern,t_factor,t_from,t_value,t_to,c_Pattern,c_Name,c_factor,eB,eB_Pattern,eB_Name,eB_Content,mB,mB_Pattern,mB_Unit,mB_from,mB_value,mB_to,c,t
s,ultrices libero,lorem quisque ut,donec odio justo sollicitudin ut suscipit,p,blandit ultrices,kg,349.68,440.36,632.67,accumsan odio curabitur,2.13,529.73,565.45,135.38,eget semper,ridiculus mus,7.07,p,a,non mi integer,eget nunc donec quis orci eget orci,s,augue vestibulum,USD,248.37,474.61,490.52,sp,ps
p,nunc,hendrerit at vulputate,sem praesent id massa id nisl venenatis,s,vestibulum sit amet,kg,84.37,161.91,974.32,sociis natoque penatibus et,8.35,891.42,969.68,764.72,donec vitae,viverra pede,1.68,r,a,platea dictumst,dui vel sem sed sagittis nam congue,i,enim in tempor,USD,614.64,309.28,339.43,pr,si
r,sollicitudin ut,lectus in quam,rutrum nulla tellus in sagittis dui,s,ut erat id,USD,694.53,87.53,459.98,donec odio justo sollicitudin,4.97,468.2,350.3,261.89,vel,ut erat,8.44,o,est lacinia,nulla ac,accumsan odio curabitur convallis duis consequat dui,s,aliquet pulvinar,m,47.22,109.15,273.3,ro,ss
s,risus,lacus purus aliquet,suspendisse ornare consequat lectus in est,o,pede posuere,%,453.29,174.07,359.28,augue a suscipit nulla,6.95,810.81,219.51,231.47,nullam orci,fermentum justo,8.82,p,id,sodales scelerisque,est et tempus semper est quam pharetra,r,ligula pellentesque,kg,460.27,854.5,151.98,sp,or
p,convallis morbi,amet consectetuer,pharetra magna ac consequat metus sapien,o,id luctus nec,m,803.99,142.39,160.2,ultrices posuere cubilia curae,4.59,107.91,180.84,209.39,et,sagittis nam congue,8.81,p,ut erat,consectetuer eget,justo maecenas rhoncus aliquam lacus morbi quis,o,felis donec,%,350.09,775.86,130.67,pp,oo
r,mauris,ipsum ac,faucibus orci luctus et ultrices posuere,i,nulla tempus vivamus,kg,720.16,967.94,747.15,lacus at turpis donec,4.82,834.16,492.27,701.31,porttitor id,quis orci eget orci,0.28,i,adipiscing,nunc nisl,pretium nisl ut volutpat sapien arcu sed,o,lectus in est,%,418.95,521.87,128.56,ri,io
p,ultrices,arcu adipiscing,magna vulputate luctus cum sociis natoque,r,id sapien,kg,898.49,42.26,530.1,odio curabitur convallis,0.65,134.3,184.59,654.98,purus aliquet,nascetur ridiculus mus,9.96,r,nisl venenatis,vestibulum aliquet,fusce congue diam id ornare imperdiet sapien,s,in congue etiam,m,416.7,485.02,336.47,pr,rs
i,etiam pretium,non velit nec,iaculis congue vivamus metus arcu adipiscing,o,orci eget orci,USD,327.07,337.06,326.41,nibh quisque id,7.56,344.84,534.79,480.0,faucibus orci,placerat praesent blandit nam,2.0,s,ac,enim lorem ipsum,nulla eget eros elementum pellentesque quisque porta,i,luctus et ultrices,kg,96.7,634.63,738.91,is,oi
s,lectus,amet diam in,integer ac neque duis bibendum morbi non,o,rutrum ac,%,930.97,501.81,525.86,ipsum aliquam non mauris,7.73,446.56,35.48,953.56,amet,orci eget,4.57,s,etiam,curae duis,quis odio consequat varius integer ac leo,p,vitae consectetuer,%,519.24,755.88,908.24,ss,op
p,odio curabitur,tincidunt ante vel,lacus morbi quis tortor id,r,magna vulputate luctus,m,135.66,700.81,492.17,montes nascetur ridiculus mus,7.57,957.94,133.58,853.8,vulputate,nam tristique,3.56,s,curae mauris,et ultrices,ut rhoncus aliquet pulvinar sed nisl nunc,r,eget nunc,m,570.89,567.3,103.9,ps,rr
i,iaculis,ridiculus mus etiam,cubilia curae nulla dapibus dolor,r,nisl aenean,%,857.77,259.58,605.18,donec posuere metus vitae,3.79,690.0,310.46,247.76,et magnis,suspendisse potenti cras,2.4,i,ac,vestibulum eget,nibh in hac habitasse platea dictumst aliquam,r,vestibulum aliquet ultrices,%,530.6,574.87,856.3,ii,rr
r,integer,ultrices enim lorem,pretium iaculis diam erat fermentum justo,o,feugiat non pretium,m,663.28,669.02,948.02,phasellus sit amet,8.74,431.23,418.82,852.26,est donec,primis in faucibus orci,5.47,i,eu,amet nunc viverra,nam nulla integer pede justo lacinia eget,i,nisl aenean,USD,293.79,993.53,329.72,ri,oi
r,amet nulla,nisi eu orci,dui proin leo odio porttitor id,o,ipsum primis,USD,546.06,954.87,213.13,ligula suspendisse ornare consequat,4.93,214.45,336.4,556.09,nibh,etiam vel,2.91,s,bibendum,sed vel enim,vehicula consequat morbi a ipsum integer a,i,viverra pede ac,%,952.74,270.56,657.72,rs,oi
r,lectus suspendisse,eu felis fusce,accumsan felis ut at dolor quis,p,erat volutpat,%,405.28,910.35,481.26,ut erat id,8.2,387.34,790.66,564.75,at nunc,imperdiet et commodo,8.58,i,nisl,elit proin,vel ipsum praesent blandit lacinia erat vestibulum,o,pede justo lacinia,%,46.24,717.92,493.85,ri,po
s,morbi vel,sit amet,cubilia curae donec pharetra magna vestibulum aliquet,r,potenti in,kg,238.81,961.47,852.26,faucibus cursus urna ut,7.37,387.94,366.92,674.85,nulla sed,curabitur in,6.09,i,arcu,viverra diam,id sapien in sapien iaculis congue vivamus,r,sem fusce,%,538.27,950.45,788.7,si,rr
s,facilisi cras,augue aliquam,purus aliquet at feugiat non pretium,p,suscipit ligula in,m,576.95,541.32,489.15,lobortis est phasellus sit,8.81,722.86,449.24,404.23,orci,nisl duis bibendum,5.85,p,felis fusce,sit amet,tempor turpis nec euismod scelerisque quam turpis,s,dictumst etiam,kg,4.49,772.48,300.75,sp,ps
r,eros,vehicula condimentum,phasellus in felis donec semper,p,platea dictumst,kg,192.17,315.97,131.55,suscipit a feugiat et,3.34,532.66,824.11,50.03,lobortis,lorem id ligula,3.84,o,sit amet,tempus sit amet,primis in faucibus orci luctus et ultrices,i,aliquet massa id,m,633.87,594.9,722.05,ro,pi
s,metus vitae,semper est,ornare imperdiet sapien urna pretium nisl ut,o,orci nullam,kg,166.65,212.36,81.92,vestibulum velit id pretium,1.88,308.5,776.94,709.47,justo aliquam,arcu adipiscing,9.4,i,lectus,amet eleifend,magna bibendum imperdiet nullam orci pede venenatis,p,nulla facilisi cras,kg,283.89,931.48,497.59,si,op
p,suspendisse accumsan,eros viverra eget,luctus tincidunt nulla mollis molestie lorem quisque,s,dolor quis odio,m,480.63,906.86,796.61,sed accumsan felis ut,5.71,182.34,676.25,413.56,justo maecenas,accumsan felis ut,8.43,s,mi in,justo sollicitudin,nam ultrices libero non mattis pulvinar nulla,o,purus sit amet,kg,773.77,409.0,609.25,ps,so
s,sed accumsan,eget semper rutrum,convallis eget eleifend luctus ultricies eu,r,at nulla,kg,345.08,539.42,121.17,nullam varius nulla,4.29,559.04,511.97,672.99,nulla,eu sapien,5.69,o,dui,massa id nisl,dictumst morbi vestibulum velit id pretium iaculis,p,nonummy integer,m,484.24,409.54,408.92,so,rp
o,lorem,luctus et ultrices,at nulla suspendisse potenti cras,s,aliquet pulvinar,kg,585.56,334.47,724.8,magna vulputate luctus,9.16,760.98,220.13,721.21,primis,augue a,3.64,r,sagittis,duis aliquam,ultrices erat tortor sollicitudin mi sit amet,s,dui nec,USD,473.3,279.07,787.77,or,ss
i,lorem,convallis tortor,purus phasellus in felis donec semper sapien,o,venenatis non,m,13.84,136.28,732.07,suscipit a feugiat et,2.65,900.86,336.9,938.46,elementum ligula,fusce lacus purus,5.5,i,turpis,sed justo,turpis nec euismod scelerisque quam turpis adipiscing,o,eros elementum pellentesque,kg,144.47,82.52,367.45,ii,oo
r,in,aenean sit,ut volutpat sapien arcu sed,o,sem mauris,kg,221.76,302.2,248.17,tellus in sagittis,1.78,469.14,377.29,620.08,rutrum,in eleifend quam,9.09,i,morbi odio,eu mi,montes nascetur ridiculus mus vivamus vestibulum sagittis,r,augue a,%,545.58,186.69,120.17,ri,or
p,nulla,velit nec nisi,libero convallis eget eleifend luctus ultricies,o,amet eleifend pede,USD,139.53,468.87,785.6,elit proin risus praesent,4.29,764.02,503.33,646.29,suscipit,ac lobortis vel,5.88,p,non,nibh ligula,molestie hendrerit at vulputate vitae nisl aenean,i,eu sapien cursus,%,163.37,517.58,196.46,pp,oi
r,vel,quisque porta,justo in blandit ultrices enim lorem ipsum,s,magna ac consequat,%,415.77,301.41,339.74,velit id pretium iaculis,8.48,675.06,266.3,474.0,magna,vivamus vel nulla eget,3.22,s,vestibulum,volutpat erat,nam ultrices libero non mattis pulvinar nulla,s,vel augue,m,21.32,549.18,136.19,rs,ss
p,ante vestibulum,rutrum at lorem,montes nascetur ridiculus mus vivamus vestibulum sagittis,o,sapien cursus vestibulum,kg,779.32,968.42,741.24,rutrum rutrum neque aenean,6.96,468.16,229.74,315.55,pede,curae nulla dapibus dolor,4.89,s,amet eleifend,dignissim vestibulum,suscipit nulla elit ac nulla sed vel,r,phasellus id sapien,USD,271.8,840.95,762.53,ps,or
i,nunc,nisl duis ac,ipsum primis in faucibus orci,o,luctus rutrum,USD,131.19,615.96,149.74,augue vestibulum rutrum rutrum,7.0,365.22,198.18,919.61,libero ut,odio justo sollicitudin ut,8.12,i,malesuada,diam nam,nulla quisque arcu libero rutrum ac lobortis,s,sit amet,%,117.58,775.56,647.31,ii,os
r,augue,ipsum dolor sit,sapien in sapien iaculis congue vivamus metus,s,semper est,m,777.12,686.92,682.14,potenti nullam porttitor,6.42,577.08,131.94,338.42,aliquam,ipsum primis,9.32,i,ultrices enim,sapien in sapien,curabitur gravida nisi at nibh in hac,p,amet nunc viverra,USD,456.89,999.3,60.07,ri,sp
i,ipsum,pellentesque quisque,volutpat convallis morbi odio odio elementum eu,p,in lacus curabitur,%,905.06,722.92,196.99,ultricies eu nibh,2.46,726.04,127.29,110.88,in,maecenas tristique,4.96,p,blandit mi,posuere nonummy integer,hac habitasse platea dictumst morbi vestibulum velit,i,rhoncus sed,m,578.97,379.26,206.95,ip,pi
s,velit,eleifend donec,dui luctus rutrum nulla tellus in sagittis,p,nullam orci,m,619.98,683.45,106.04,vel augue vestibulum,2.44,385.31,59.01,105.6,hendrerit at,in faucibus orci,9.58,o,in,ante vel,curae mauris viverra diam vitae quam suspendisse,o,amet consectetuer,m,170.0,882.84,542.4,so,po
s,consequat morbi,morbi a,in hac habitasse platea dictumst,i,donec odio,m,368.2,282.32,567.45,est congue elementum,6.66,224.4,282.02,60.69,eget eleifend,sodales scelerisque,9.36,r,ut massa,sem praesent id,enim blandit mi in porttitor pede justo,o,at nulla suspendisse,m,626.28,478.57,841.48,sr,io
o,habitasse,turpis sed,diam in magna bibendum imperdiet nullam orci,i,sapien varius ut,m,905.66,899.49,75.44,cubilia curae nulla dapibus,8.68,320.81,150.2,1.81,mus etiam,nulla tempus vivamus in,3.69,p,at,donec ut dolor,duis aliquam convallis nunc proin at turpis,s,nulla quisque,m,96.99,113.05,757.64,op,is
p,justo,pede malesuada in,in blandit ultrices enim lorem,p,sem mauris,USD,1.95,517.29,280.26,placerat praesent blandit nam,2.38,890.13,506.77,734.43,ipsum,tortor id,6.2,r,pulvinar,convallis morbi odio,a feugiat et eros vestibulum ac est,p,amet consectetuer adipiscing,%,610.33,697.33,775.48,pr,pp
i,aliquam convallis,in hac,vivamus vestibulum sagittis sapien cum sociis natoque,o,et eros vestibulum,kg,338.14,563.45,335.56,nisi vulputate nonummy,6.57,586.96,479.48,137.39,lectus in,integer ac neque duis,9.58,s,ornare,in hac,molestie sed justo pellentesque viverra pede ac,p,leo odio condimentum,m,809.98,256.09,660.98,is,op
r,diam,enim in tempor,porttitor id consequat in consequat,s,vel dapibus,USD,852.27,708.17,610.38,turpis a pede posuere,5.59,516.33,352.1,821.22,congue,ante vestibulum ante ipsum,3.62,i,mi,primis in faucibus,sapien placerat ante nulla justo aliquam quis,s,nonummy integer non,USD,447.58,645.24,503.62,ri,ss
r,ipsum,eget vulputate ut,diam id ornare imperdiet sapien urna,o,justo morbi,%,851.98,805.23,343.13,felis sed interdum,6.92,196.68,552.93,345.83,fermentum,tellus semper interdum mauris,8.82,o,est et,accumsan odio,eu interdum eu tincidunt in leo maecenas,p,amet eros,%,724.59,160.52,406.28,ro,op
i,elementum,rutrum nulla,vestibulum aliquet ultrices erat tortor sollicitudin,s,et commodo,USD,294.24,218.72,1.34,quis turpis sed,7.76,505.89,85.06,472.67,quisque,donec odio justo sollicitudin,4.78,r,sit amet,a odio,dictumst morbi vestibulum velit id pretium iaculis,s,tristique in,kg,266.45,852.7,706.05,ir,ss
o,nec nisi,id consequat in,eget congue eget semper rutrum nulla,r,mauris non ligula,%,464.04,440.73,130.5,fusce lacus purus aliquet,0.46,217.99,513.4,857.45,id luctus,tempus sit amet sem,3.85,o,sagittis,mauris viverra,penatibus et magnis dis parturient montes nascetur,o,odio justo,kg,249.72,189.09,132.4,oo,ro
s,libero,dui maecenas,at feugiat non pretium quis lectus suspendisse,o,dis parturient montes,%,40.74,490.44,729.53,velit vivamus vel nulla,3.53,405.1,939.86,344.45,ligula,proin risus,8.76,r,phasellus,ultrices enim lorem,augue vestibulum rutrum rutrum neque aenean auctor,i,sit amet,m,881.18,181.48,527.33,sr,oi
i,consectetuer,viverra diam,eu mi nulla ac enim,r,nulla nisl,%,535.58,260.94,811.95,quis orci eget,4.73,863.74,536.46,777.36,suspendisse ornare,vulputate nonummy maecenas tincidunt,6.15,i,pede malesuada,eu mi nulla,luctus ultricies eu nibh quisque id justo,o,nibh in,kg,295.19,412.94,379.38,ii,ro
r,sed ante,sapien varius,elit proin interdum mauris non,r,maecenas tincidunt lacus,kg,871.58,141.0,940.98,semper sapien a libero,1.05,777.4,609.41,482.44,nisl,in hac habitasse platea,0.55,s,et,ante vestibulum ante,ut erat curabitur gravida nisi at nibh,p,cubilia curae,%,180.04,7.05,911.22,rs,rp
o,ipsum,eu mi,neque duis bibendum morbi non quam,r,sapien quis libero,USD,206.22,413.69,921.2,aliquet ultrices erat tortor,5.38,636.63,935.9,596.62,et commodo,vestibulum proin eu mi,7.53,o,tempus vivamus,risus semper porta,parturient montes nascetur ridiculus mus etiam vel,i,ut erat,m,745.76,448.31,834.44,oo,ri
p,diam,velit id pretium,mi pede malesuada in imperdiet,p,lacus morbi,kg,924.38,233.76,890.27,etiam pretium iaculis justo,6.92,865.5,680.94,175.24,praesent,venenatis turpis enim,2.61,r,ipsum primis,in consequat ut,venenatis non sodales sed tincidunt eu felis,r,at ipsum ac,m,674.93,529.07,391.61,pr,pr
r,in blandit,etiam faucibus cursus,nunc commodo placerat praesent blandit nam,p,odio elementum,%,9.18,42.56,745.21,sapien cursus vestibulum proin,4.59,771.4,249.31,989.63,ac consequat,amet nulla quisque,0.28,p,pede posuere,ligula vehicula,molestie hendrerit at vulputate vitae nisl aenean,s,rhoncus aliquet pulvinar,kg,536.79,483.81,628.04,rp,ps
i,sociis,vel sem sed,ultrices libero non mattis pulvinar nulla,o,et ultrices,%,144.07,379.57,856.65,accumsan odio curabitur convallis,0.27,286.82,363.28,563.57,id mauris,eget congue eget semper,1.15,r,donec quis,justo sollicitudin ut,justo sollicitudin ut suscipit a feugiat et,r,in libero,USD,622.58,264.87,849.58,ir,or
r,lobortis ligula,ornare imperdiet,sit amet sem fusce consequat,o,aliquet massa id,%,535.57,217.83,817.39,nisi nam ultrices libero,0.94,760.76,463.26,189.16,risus dapibus,justo etiam pretium,8.77,s,natoque,mauris enim leo,praesent lectus vestibulum quam sapien varius ut,r,donec diam neque,USD,120.79,590.18,723.56,rs,or
o,cras non,non velit,ridiculus mus etiam vel augue vestibulum,s,eu felis,m,522.67,635.99,179.23,nec dui luctus rutrum,1.46,263.51,204.89,868.8,diam,erat tortor sollicitudin mi,3.28,s,condimentum,aliquet pulvinar sed,vehicula condimentum curabitur in libero ut massa,r,sagittis dui,kg,808.37,125.29,362.82,os,sr
o,nullam,consequat lectus in,erat quisque erat eros viverra eget,p,est risus auctor,m,352.82,718.76,940.37,ac consequat metus,3.51,832.59,814.93,16.24,eget tincidunt,sit amet,0.33,r,donec vitae,erat vestibulum sed,magna vestibulum aliquet ultrices erat tortor sollicitudin,o,feugiat et eros,%,500.35,588.03,11.55,or,po
s,ac diam,rutrum nulla tellus,nec nisi vulputate nonummy maecenas tincidunt,o,lacinia erat vestibulum,USD,151.11,391.8,669.47,vel nulla eget eros,4.19,451.35,719.48,175.96,augue,felis sed,9.73,s,viverra,congue etiam,eget eleifend luctus ultricies eu nibh quisque,p,consequat morbi a,kg,50.98,792.42,30.36,ss,op
r,feugiat,nulla suscipit ligula,sit amet nunc viverra dapibus nulla,s,hac habitasse platea,%,819.11,435.78,795.75,vestibulum rutrum rutrum,5.66,517.79,918.3,246.35,cubilia curae,convallis nulla,0.57,r,at,justo eu massa,lacinia sapien quis libero nullam sit amet,s,viverra eget congue,%,823.38,241.85,977.83,rr,ss
s,mauris,pellentesque quisque porta,sit amet consectetuer adipiscing elit proin,p,pede ullamcorper,%,629.32,110.29,179.04,vel lectus in quam,6.78,778.66,66.76,613.6,eleifend donec,dapibus dolor vel,9.25,s,suscipit ligula,vestibulum sagittis,quis justo maecenas rhoncus aliquam lacus morbi,s,pretium nisl ut,USD,998.75,51.24,820.09,ss,ps
o,consequat,accumsan odio,tortor sollicitudin mi sit amet lobortis,s,nunc donec quis,m,87.34,326.94,799.58,convallis morbi odio,1.77,443.23,367.12,941.5,est donec,hac habitasse,6.07,r,at velit,amet consectetuer,metus vitae ipsum aliquam non mauris morbi,s,magna bibendum imperdiet,USD,173.27,206.11,122.07,or,ss
r,sollicitudin,ac lobortis,nulla quisque arcu libero rutrum ac lobortis,s,pretium nisl,m,763.76,636.07,740.65,luctus ultricies eu,6.73,701.41,597.81,247.78,iaculis justo,a odio in hac,9.81,o,massa,faucibus orci,in lectus pellentesque at nulla suspendisse potenti,r,et magnis,USD,410.16,814.5,704.24,ro,sr
o,turpis adipiscing,ante vestibulum ante,at dolor quis odio consequat varius,o,ante ipsum primis,%,529.01,573.43,63.58,rutrum neque aenean auctor,8.69,1.3,894.96,912.25,eget,nec sem duis,3.12,p,eros elementum,ultrices posuere cubilia,vel enim sit amet nunc viverra dapibus,r,vitae quam,kg,743.42,248.91,490.75,op,or
r,congue risus,eu nibh quisque,justo morbi ut odio cras mi,o,nulla nisl nunc,USD,472.63,541.9,393.97,nulla suspendisse potenti,8.23,945.53,727.52,114.63,mollis,ac enim,0.38,r,in,egestas metus aenean,cras mi pede malesuada in imperdiet et,s,orci vehicula condimentum,kg,727.09,944.08,305.15,rr,os
i,felis donec,faucibus accumsan odio,mauris morbi non lectus aliquam sit,r,ac consequat metus,kg,62.1,68.16,109.99,suscipit ligula in lacus,8.05,361.92,902.11,4.78,ut suscipit,lacinia erat,9.98,o,cum sociis,justo aliquam,massa id lobortis convallis tortor risus dapibus,o,nullam sit amet,kg,534.45,452.53,244.36,io,ro
o,tincidunt in,vitae quam suspendisse,suscipit nulla elit ac nulla,r,ullamcorper purus sit,m,547.62,730.38,905.39,luctus et ultrices,9.19,555.15,736.58,26.51,vel,sed augue aliquam erat,6.92,o,praesent,nulla mollis molestie,donec posuere metus vitae ipsum aliquam non,i,commodo placerat,USD,441.33,347.46,644.26,oo,ri
o,convallis nunc,justo morbi,nisi venenatis tristique fusce congue diam id,i,vitae consectetuer,m,309.67,496.12,357.69,faucibus orci luctus,0.07,342.43,33.08,532.83,lacinia erat,ligula nec,2.42,o,iaculis,interdum mauris ullamcorper,ultrices posuere cubilia curae nulla dapibus dolor,r,consequat nulla,%,51.16,863.26,454.08,oo,ir
p,ut massa,sit amet justo,orci eget orci vehicula condimentum curabitur in,i,at vulputate,kg,570.69,322.01,242.81,justo aliquam quis turpis,0.99,906.03,868.54,771.11,sodales scelerisque,libero ut massa,2.91,r,elit,cubilia curae,augue vel accumsan tellus nisi eu orci,r,magna vulputate,m,715.73,565.3,936.06,pr,ir
i,sapien arcu,turpis adipiscing lorem,nibh ligula nec sem duis aliquam convallis,o,nisl nunc rhoncus,m,94.34,539.44,777.62,massa donec dapibus duis,9.39,350.52,238.25,260.65,in,aenean sit amet,3.61,i,quis orci,praesent blandit lacinia,nulla sed accumsan felis ut at dolor,i,sit amet nulla,m,293.13,373.43,111.12,ii,oi
p,enim blandit,leo odio porttitor,vivamus metus arcu adipiscing molestie,r,luctus ultricies eu,USD,555.17,153.04,240.91,eleifend pede libero,5.45,593.82,565.59,346.09,quisque ut,vestibulum aliquet ultrices,4.7,r,est quam,lobortis convallis tortor,ac est lacinia nisi venenatis tristique fusce,i,in hac habitasse,m,295.86,566.08,685.8,pr,ri
i,semper interdum,lectus in,at feugiat non pretium quis,s,vel accumsan,USD,720.37,162.38,876.42,velit vivamus vel nulla,3.76,637.45,589.95,257.18,vulputate justo,ac leo,0.82,o,in,sit amet,turpis nec euismod scelerisque quam turpis adipiscing,s,vel nulla eget,m,825.41,413.85,212.14,io,ss
s,donec diam,ac nulla sed,posuere cubilia curae donec pharetra,r,id sapien,%,916.12,516.07,22.09,eget eleifend luctus,8.37,953.81,24.6,287.72,massa donec,est congue elementum,1.21,i,tincidunt eu,dui nec,in consequat ut nulla sed accumsan felis,r,suspendisse potenti,kg,676.51,500.11,647.67,si,rr
i,lacus morbi,dapibus duis at,elementum in hac habitasse platea dictumst morbi,o,turpis integer aliquet,%,216.75,697.66,560.25,dapibus augue vel accumsan,3.89,949.47,694.75,353.62,scelerisque,eget tempus,5.86,i,amet,pretium nisl ut,amet justo morbi ut odio cras mi,o,ornare consequat,kg,164.09,718.39,50.28,ii,oo
i,molestie,ante ipsum,at vulputate vitae nisl aenean,s,nulla suspendisse,m,692.69,218.29,842.64,varius nulla facilisi cras,5.98,379.36,494.77,342.66,rhoncus,euismod scelerisque quam turpis,1.64,s,magna,mauris non,sed tristique in tempus sit amet sem,o,dolor quis,m,575.01,930.39,385.51,is,so
s,lectus,est risus,in sagittis dui vel nisl duis,r,dui vel,USD,951.82,927.31,960.34,quam pede lobortis ligula,4.23,345.64,477.7,914.47,consectetuer adipiscing,lobortis ligula sit amet,7.35,p,quis justo,luctus tincidunt nulla,in faucibus orci luctus et ultrices posuere,p,natoque penatibus et,USD,458.56,400.77,214.32,sp,rp
p,nulla suscipit,risus auctor sed,augue vestibulum rutrum rutrum neque aenean,s,convallis nulla neque,%,324.56,173.79,212.71,augue quam sollicitudin,0.88,511.32,418.24,283.33,lorem,nam congue risus semper,4.61,o,enim,est et,curae donec pharetra magna vestibulum aliquet ultrices,o,nunc vestibulum ante,%,32.98,928.71,56.81,po,so
o,ligula,vitae nisl,montes nascetur ridiculus mus vivamus vestibulum sagittis,r,posuere cubilia curae,m,285.41,19.93,991.62,pede ac diam,7.92,781.28,347.71,61.54,lectus,vivamus metus arcu adipiscing,3.66,o,nisl,ac nibh,consequat metus sapien ut nunc vestibulum ante,i,morbi sem,kg,488.97,963.33,646.67,oo,ri
r,est risus,platea dictumst,montes nascetur ridiculus mus etiam vel augue,i,amet eleifend,USD,630.79,927.27,224.34,vestibulum rutrum rutrum,6.65,201.27,401.7,648.89,sed augue,nec nisi,4.35,i,maecenas,ac nulla,in consequat ut nulla sed accumsan felis,p,amet nunc,%,455.77,369.89,614.64,ri,ip
o,quisque erat,quam a odio,in porttitor pede justo eu,s,curabitur convallis duis,%,999.81,970.71,263.05,tortor sollicitudin mi sit,4.13,930.17,613.44,114.63,venenatis,curabitur in,8.86,p,sapien dignissim,molestie sed,leo rhoncus sed vestibulum sit amet cursus,i,vivamus metus arcu,USD,670.2,676.17,216.79,op,si
i,vestibulum,amet consectetuer,dui luctus rutrum nulla tellus in,p,eros vestibulum ac,kg,701.96,336.19,231.29,feugiat non pretium,1.71,599.83,492.73,723.61,vivamus,donec dapibus duis,0.77,r,imperdiet,porta volutpat,et magnis dis parturient montes nascetur ridiculus,o,non lectus,kg,334.1,761.69,963.27,ir,po
p,id,amet nulla quisque,ligula pellentesque ultrices phasellus id sapien,r,integer pede justo,m,127.28,603.98,771.54,purus phasellus in felis,0.86,889.78,582.24,752.85,condimentum,velit donec diam,2.29,r,molestie,faucibus orci,odio condimentum id luctus nec molestie sed,p,cubilia curae duis,kg,102.14,4.85,1.1,pr,rp
s,nullam porttitor,in hac habitasse,eget congue eget semper rutrum,p,felis eu sapien,kg,308.03,853.08,110.64,primis in faucibus orci,6.84,490.48,774.04,730.0,aliquam,est et,7.87,p,rutrum,dolor quis odio,potenti nullam porttitor lacus at turpis donec,r,eu interdum eu,USD,969.25,178.33,532.61,sp,pr
r,mus vivamus,velit nec,semper est quam pharetra magna ac consequat,o,nam dui,kg,96.58,232.73,560.93,elementum eu interdum,7.17,956.86,492.44,398.46,dolor,consequat in,3.15,o,suspendisse ornare,curae donec pharetra,sit amet eros suspendisse accumsan tortor quis,r,velit nec nisi,kg,519.11,254.75,350.09,ro,or
r,venenatis,enim in,sed accumsan felis ut at,o,justo sollicitudin,kg,756.9,984.86,28.97,in quis justo maecenas,3.9,266.19,482.71,772.21,faucibus accumsan,mattis egestas metus aenean,6.99,s,felis sed,purus sit amet,nulla sed vel enim sit amet nunc,s,vivamus vestibulum,USD,767.3,571.88,243.78,rs,os
o,pretium,lacinia eget tincidunt,feugiat et eros vestibulum ac est,o,vitae nisi nam,m,393.99,123.86,237.74,nulla integer pede,0.18,742.32,347.49,906.01,elementum,id mauris,2.34,s,nam dui,lectus vestibulum quam,cubilia curae duis faucibus accumsan odio curabitur,o,diam id ornare,m,547.41,952.76,817.62,os,oo
s,lacinia,aenean fermentum donec,luctus tincidunt nulla mollis molestie,r,sapien cursus,m,61.98,190.17,620.46,non mauris morbi,9.4,507.42,868.9,9.07,vestibulum ante,lacinia sapien quis libero,0.3,p,amet turpis,integer non,proin eu mi nulla ac enim in,i,eu orci mauris,USD,655.28,785.22,264.86,sp,ri
s,nulla,etiam pretium iaculis,enim in tempor turpis nec euismod,o,eros vestibulum,%,278.6,265.72,444.34,vivamus vestibulum sagittis,5.77,201.52,987.63,889.94,etiam,vestibulum ante ipsum,5.7,i,eget,odio cras,quam turpis adipiscing lorem vitae mattis nibh,o,molestie sed justo,USD,419.95,154.04,838.67,si,oo
s,et tempus,in libero,diam nam tristique tortor eu pede,o,quam turpis,kg,84.58,757.52,500.67,ut odio cras,2.51,657.4,360.16,537.42,ipsum ac,curabitur convallis duis,7.93,s,faucibus orci,faucibus orci,erat curabitur gravida nisi at nibh in,o,ut nunc vestibulum,USD,21.5,725.92,998.43,ss,oo
r,habitasse platea,accumsan tortor,vitae ipsum aliquam non mauris morbi non,p,morbi quis,USD,323.83,102.42,238.91,in hac habitasse,6.12,660.3,721.12,63.81,sit,amet turpis elementum ligula,5.52,s,adipiscing lorem,quisque ut,vel pede morbi porttitor lorem id ligula,r,amet justo,USD,864.57,402.47,416.93,rs,pr
r,vel,integer a nibh,amet consectetuer adipiscing elit proin,i,dictumst etiam,m,160.13,593.14,117.01,orci vehicula condimentum curabitur,1.95,938.99,451.88,232.0,at,pede libero quis,3.28,p,in eleifend,in ante,nunc commodo placerat praesent blandit nam nulla,r,condimentum curabitur,m,669.64,408.08,770.68,rp,ir
r,convallis morbi,mi in,a feugiat et eros vestibulum ac,i,nullam sit,USD,691.11,137.82,851.36,orci nullam molestie,6.63,843.32,106.38,257.42,donec,vestibulum ante ipsum,8.81,p,sit,suspendisse accumsan,ut suscipit a feugiat et eros vestibulum,o,nam nulla,kg,733.51,468.77,709.27,rp,io
i,dapibus,amet nunc,id sapien in sapien iaculis,o,tortor quis turpis,kg,982.85,40.62,271.83,mi nulla ac,8.89,312.47,927.01,307.15,varius,montes nascetur,6.45,p,mi pede,erat fermentum justo,nibh quisque id justo sit amet sapien,s,ut odio,USD,59.47,974.91,497.99,ip,os
